synth__sched__date__begin,synth__sched__date__end,init_design__sched__date__begin,init_design__sched__date__end,place_opt__sched__date__begin,place_opt__sched__date__end,clock_opt_cts__sched__date__begin,clock_opt_cts__sched__date__end,clock_opt_opto__sched__date__begin,clock_opt_opto__sched__date__end,route_auto__sched__date__begin,route_auto__sched__date__end,route_opt__sched__date__begin,route_opt__sched__date__end,route_opt__sched__host__id,route_opt__sched__loadavg__end,synth__timing__clk_per__set,init_design__area__util__set,init_design__area__max_layer__set,place_opt__timing__clk_trans__set,clk_opt_cts__timing__hold_uncert__set,route_opt__timing__whs__worst,route_opt__timing__tnhs__tot,route_opt__timing__nhve__tot,route_opt__timing__ntv__tot,route_opt__timing__critpath__max,route_opt__timing__clk_trans__max,route_opt__area__cell__tot,route_opt__area__util__avg,route_opt__drc__viol__tot,route_opt__area__wirelength__tot,route_opt__area__li1_wirelength__tot,route_opt__area__met1_wirelength__tot,route_opt__area__met2_wirelength__tot,route_opt__area__met3_wirelength__tot,route_opt__area__met4_wirelength__tot,route_opt__area__met5_wirelength__tot,route_opt_power_int_tot,route_opt_power_sw_tot,route_opt_power_leak_tot
1728074210,1728074428,1728074431,1728074487,1728074488,1728074825,1728074827,1728074944,1728074945,1728075117,1728075119,1728075217,1728075219,1728075381,grendel45.ece.ncsu.edu,2.06,5,0.5,met5,0.5,0.1,0.00,0.00,0,0,4.82,0.18,89457.6528,0.5065,4,269892,4974,78752,105843,57940,23469,574,1.83e+07,1.06e+07,6.51e+06
1728075384,1728075592,1728075594,1728075642,1728075643,1728075993,1728075995,1728076111,1728076113,1728076286,1728076288,1728076380,1728076382,1728076555,grendel45.ece.ncsu.edu,2.60,5,0.55,met5,0.5,0.1,0.03,0.00,0,1,4.50,0.22,88505.0064,0.5519,6,268031,4742,77666,103563,59065,24035,670,1.81e+07,1.06e+07,6.52e+06
1728076559,1728076774,1728076777,1728076826,1728076828,1728077187,1728077188,1728077309,1728077311,1728077493,1728077495,1728077586,1728077587,1728077749,grendel45.ece.ncsu.edu,2.29,5,0.6,met5,0.5,0.1,0.00,0.00,0,0,4.41,0.15,88989.3216,0.6044,7,271609,4675,76275,106922,55468,29948,0,1.80e+07,1.06e+07,6.56e+06
1728077753,1728077968,1728077971,1728078028,1728078029,1728078400,1728078402,1728078527,1728078529,1728078696,1728078697,1728078805,1728078807,1728078985,grendel45.ece.ncsu.edu,2.48,5,0.65,met5,0.5,0.1,0.00,0.00,0,0,4.39,0.20,90322.3872,0.6680,9,264668,3958,74203,98944,62114,26100,978,1.83e+07,1.06e+07,6.65e+06
1728078989,1728079205,1728079208,1728079263,1728079264,1728079634,1728079636,1728079750,1728079751,1728079929,1728079931,1728080034,1728080035,1728080225,grendel45.ece.ncsu.edu,2.71,5,0.7,met5,0.5,0.1,0.07,0.00,0,0,4.92,0.20,89820.4896,0.7154,14,255312,2986,71279,94949,60342,26114,1242,1.80e+07,1.04e+07,6.58e+06
1728085012,1728085258,1728085261,1728085315,1728085316,1728085699,1728085701,1728085848,1728085850,1728086039,1728086040,1728086143,1728086144,1728086315,grendel45.ece.ncsu.edu,3.03,5,0.5,met5,0.4,0.2,-0.00,-0.00,1,0,4.45,0.16,88169.3424,0.4992,10,269006,5205,77888,105205,58593,23404,384,1.79e+07,1.04e+07,6.41e+06
1728086472,1728086751,1728086756,1728086814,1728086816,1728087207,1728087209,1728087350,1728087352,1728087578,1728087579,1728087677,1728087679,1728087868,grendel45.ece.ncsu.edu,3.42,5,0.5,met5,0.3,0.2,-0.00,-0.00,1,0,4.49,0.12,90861.0480,0.5144,12,271141,5101,78407,105361,58773,24360,823,1.84e+07,1.08e+07,6.67e+06
1728089609,1728089849,1728089853,1728089904,1728089906,1728090071,1728090072,1728090208,1728090209,1728090371,1728090372,1728090463,1728090464,1728090580,grendel45.ece.ncsu.edu,2.07,10,0.5,met5,0.3,0.2,0.00,0.00,0,0,9.76,0.12,68190.9408,0.4979,9,212529,5086,63762,84551,44273,16006,212,7.61e+06,4.16e+06,4.48e+06
1728090584,1728090822,1728090826,1728090876,1728090877,1728091051,1728091053,1728091192,1728091194,1728091360,1728091362,1728091463,1728091464,1728091580,grendel45.ece.ncsu.edu,2.28,10,0.55,met5,0.3,0.2,0.00,0.00,0,0,9.38,0.12,67781.7504,0.5436,7,207701,4941,61574,81216,45604,15592,89,7.59e+06,4.12e+06,4.44e+06
1728091584,1728091807,1728091811,1728091868,1728091869,1728092033,1728092036,1728092167,1728092168,1728092324,1728092325,1728092417,1728092418,1728092531,grendel45.ece.ncsu.edu,2.46,10,0.6,met5,0.3,0.2,0.00,0.00,0,0,9.53,0.12,67967.1648,0.5972,8,206250,4827,59807,80038,45205,17438,247,7.62e+06,4.12e+06,4.47e+06
1728092535,1728092745,1728092749,1728092806,1728092807,1728092966,1728092968,1728093107,1728093109,1728093257,1728093259,1728093351,1728093352,1728093473,grendel45.ece.ncsu.edu,2.14,10,0.65,met5,0.3,0.2,0.00,0.00,0,0,9.38,0.11,67888.8432,0.6468,9,202008,3922,57363,77095,44728,19821,369,7.63e+06,4.09e+06,4.47e+06
1728093476,1728093726,1728093730,1728093780,1728093781,1728093959,1728093960,1728094091,1728094093,1728094247,1728094248,1728094337,1728094339,1728094457,grendel45.ece.ncsu.edu,1.98,10,0.7,met5,0.3,0.2,0.00,0.00,0,0,9.52,0.09,67836.0960,0.6925,10,196526,3381,55450,73773,43975,19933,1283,7.61e+06,4.09e+06,4.46e+06
1728159482,1728159649,1728159652,1728159688,1728159689,1728159813,1728159814,1728159902,1728159903,1728160014,1728160015,1728160092,1728160093,1728160203,grendel40.ece.ncsu.edu,7.67,10,0.5,met4,0.3,0.2,-0.00,-0.00,1,0,9.22,0.11,67847.2848,0.4953,10,213186,7073,65012,83187,42690,16598,0,7.59e+06,4.17e+06,4.45e+06
1728160206,1728160372,1728160374,1728160412,1728160413,1728160531,1728160533,1728160621,1728160622,1728160737,1728160738,1728160814,1728160815,1728160918,grendel40.ece.ncsu.edu,8.10,10,0.55,met4,0.3,0.2,-0.00,-0.00,2,0,9.45,0.12,67909.6224,0.5446,8,209334,6284,63914,79336,44086,17081,0,7.62e+06,4.14e+06,4.47e+06
1728160921,1728161090,1728161093,1728161128,1728161129,1728161250,1728161251,1728161337,1728161338,1728161440,1728161442,1728161522,1728161524,1728161629,grendel40.ece.ncsu.edu,8.37,10,0.6,met4,0.3,0.2,0.00,0.00,0,0,9.71,0.11,67797.7344,0.5957,4,208504,6437,61133,78808,44300,19176,0,7.55e+06,4.10e+06,4.47e+06
1728161631,1728161796,1728161798,1728161831,1728161832,1728161958,1728161959,1728162047,1728162049,1728162154,1728162155,1728162250,1728162251,1728162360,grendel40.ece.ncsu.edu,8.13,10,0.65,met4,0.3,0.2,0.00,0.00,0,0,9.47,0.12,67757.7744,0.6455,5,201311,4736,58337,75340,44059,20151,1,7.58e+06,4.09e+06,4.46e+06
1728162363,1728162535,1728162537,1728162577,1728162579,1728162732,1728162733,1728162819,1728162820,1728162926,1728162928,1728163014,1728163015,1728163117,grendel40.ece.ncsu.edu,8.85,10,0.7,met4,0.3,0.2,0.00,0.00,0,1,9.54,0.11,67949.5824,0.6936,10,197852,4007,56756,73681,44586,20127,0,7.64e+06,4.13e+06,4.47e+06
1728163120,1728163291,1728163294,1728163326,1728163326,1728163451,1728163452,1728163540,1728163541,1728163647,1728163648,1728163742,1728163743,1728163848,grendel40.ece.ncsu.edu,8.37,10,0.75,met4,0.3,0.2,0.00,0.00,0,0,9.53,0.11,67882.4496,0.7490,4,195758,3576,55191,71352,44717,22192,1,7.61e+06,4.09e+06,4.46e+06
1728163851,1728164022,1728164025,1728164057,1728164058,1728164195,1728164196,1728164282,1728164284,1728164390,1728164392,1728164492,1728164493,1728164595,grendel40.ece.ncsu.edu,9.50,10,0.8,met4,0.3,0.2,-0.00,-0.00,1,0,9.40,0.13,67554.7776,0.7873,7,191342,3056,53362,69078,44548,22554,1,7.58e+06,4.13e+06,4.44e+06
1728164598,1728164772,1728164775,1728164807,1728164808,1728164938,1728164939,1728165038,1728165039,1728165184,1728165185,1728165280,1728165281,1728165376,grendel40.ece.ncsu.edu,8.74,10,0.85,met4,0.3,0.2,-0.01,-0.01,1,0,9.76,0.11,67361.3712,0.8375,4,181444,2075,51268,66016,41620,21641,1,7.52e+06,4.00e+06,4.41e+06
1728165379,1728165586,1728165589,1728165622,1728165623,1728165796,1728165798,1728165923,1728165924,1728166040,1728166042,1728166139,1728166140,1728166238,grendel40.ece.ncsu.edu,8.49,10,0.9,met4,0.3,0.2,-0.00,-0.00,1,0,9.49,0.10,67546.7856,0.8963,1,177997,1531,49052,63098,42828,22592,1,7.57e+06,4.03e+06,4.45e+06
1728166242,1728166457,1728166459,1728166503,1728166504,1728166651,1728166653,1728166771,1728166772,1728166909,1728166911,1728167054,1728167055,1728167184,grendel40.ece.ncsu.edu,8.51,10,0.95,met4,0.3,0.2,-0.00,-0.00,2,1,9.51,0.12,67543.5888,0.9432,5,176748,1000,48150,62181,42113,24432,1,7.49e+06,4.01e+06,4.45e+06
1728168000,1728168191,1728168193,1728168237,1728168238,1728168384,1728168385,1728168516,1728168517,1728168633,1728168634,1728168709,1728168710,1728168833,grendel40.ece.ncsu.edu,8.26,10,0.5,met3,0.3,0.2,0.00,0.00,0,1,9.59,0.12,67987.9440,0.4964,4,213385,5506,68034,99056,42045,0,0,7.55e+06,4.11e+06,4.46e+06
1728168835,1728169028,1728169031,1728169077,1728169077,1728169301,1728169301,1728169409,1728169410,1728169541,1728169542,1728169628,1728169629,1728169729,grendel40.ece.ncsu.edu,8.03,10,0.55,met3,0.3,0.2,0.00,0.00,0,0,9.38,0.11,67764.1680,0.5434,3,210934,5224,66833,96119,43964,7,0,7.62e+06,4.16e+06,4.45e+06
1728169733,1728169953,1728169955,1728169995,1728169997,1728170143,1728170144,1728170254,1728170255,1728170388,1728170389,1728170470,1728170471,1728170583,grendel40.ece.ncsu.edu,6.77,10,0.6,met3,0.3,0.2,-0.00,-0.00,1,1,9.63,0.13,68322.0096,0.6003,8,207697,5126,64181,96701,42837,0,0,7.66e+06,4.14e+06,4.49e+06
1728170587,1728170792,1728170795,1728170839,1728170840,1728170978,1728170980,1728171083,1728171085,1728171213,1728171215,1728171298,1728171299,1728171398,grendel40.ece.ncsu.edu,5.86,10,0.65,met3,0.3,0.2,0.00,0.00,0,0,9.56,0.12,67904.8272,0.6469,4,203756,4269,61822,95120,43710,1,3,7.58e+06,4.12e+06,4.47e+06
1728171400,1728171609,1728171612,1728171646,1728171647,1728171811,1728171813,1728171909,1728171911,1728172046,1728172047,1728172131,1728172132,1728172241,grendel40.ece.ncsu.edu,5.44,10,0.7,met3,0.3,0.2,0.00,0.00,0,0,9.51,0.11,67973.5584,0.6939,6,199291,3923,59590,91790,45120,3,0,7.64e+06,4.13e+06,4.47e+06
1728172243,1728172441,1728172443,1728172484,1728172485,1728172635,1728172636,1728172737,1728172739,1728172879,1728172880,1728172966,1728172967,1728173077,grendel40.ece.ncsu.edu,5.28,10,0.75,met3,0.3,0.2,-0.00,-0.00,2,0,9.25,0.10,68024.7072,0.7506,15,198756,3927,58738,90781,46434,3,1,7.63e+06,4.18e+06,4.49e+06
1728173080,1728173265,1728173268,1728173310,1728173311,1728173452,1728173453,1728173565,1728173566,1728173703,1728173704,1728173798,1728173799,1728173908,grendel40.ece.ncsu.edu,4.91,10,0.8,met3,0.3,0.2,0.00,0.00,0,0,9.39,0.10,67788.1440,0.7901,9,191405,2710,56698,87277,45780,1,1,7.59e+06,4.14e+06,4.46e+06
1728173912,1728174114,1728174117,1728174160,1728174161,1728174313,1728174314,1728174440,1728174442,1728174559,1728174560,1728174649,1728174650,1728174751,grendel40.ece.ncsu.edu,4.71,10,0.85,met3,0.3,0.2,-0.00,-0.00,1,0,9.49,0.13,67551.5808,0.8399,4,184492,2289,54746,85083,43382,2,1,7.54e+06,4.05e+06,4.46e+06
1728174754,1728174965,1728174967,1728175001,1728175003,1728175182,1728175183,1728175316,1728175317,1728175452,1728175453,1728175670,1728175671,1728175780,grendel40.ece.ncsu.edu,4.38,10,0.9,met3,0.3,0.2,0.00,0.00,0,0,9.56,0.12,67730.6016,0.8987,11,182423,1880,53908,81855,45764,11,3,7.56e+06,4.10e+06,4.47e+06
1728175783,1728176001,1728176004,1728176048,1728176048,1728176216,1728176217,1728176319,1728176320,1728176444,1728176446,1728176760,1728176761,1728176983,grendel40.ece.ncsu.edu,4.11,10,0.95,met3,0.3,0.2,-0.00,-0.00,1,3,9.44,0.14,67586.7456,0.9438,110,181095,1401,53750,81849,45017,4,1,7.51e+06,4.12e+06,4.47e+06
1728241020,1728241196,1728241199,1728241243,1728241244,1728241581,1728241582,1728241649,1728241650,1728241798,1728241799,1728241897,1728241898,1728242091,grendel46.ece.ncsu.edu,2.50,5,0.85,met3,0.3,0.2,0.00,0.00,0,1,4.34,0.12,88949.3616,0.8525,15,238893,2287,70854,107987,59069,8,0,1.81e+07,1.02e+07,6.56e+06
1728243630,1728243811,1728243814,1728243845,1728243846,1728244131,1728244132,1728244202,1728244204,1728244336,1728244337,1728245046,1728245047,1728245800,grendel46.ece.ncsu.edu,6.58,5,0.85,met2,0.3,0.2,-0.00,-0.00,2,0,4.27,0.16,91939.9680,0.8811,1678,249486,4366,117333,128568,52,3,0,1.83e+07,1.05e+07,6.85e+06
1728246227,1728246397,1728246400,1728246442,1728246444,1728246736,1728246737,1728246802,1728246803,1728246931,1728246932,1728247021,1728247022,1728247190,grendel46.ece.ncsu.edu,5.59,5,0.8,met3,0.3,0.2,0.00,0.00,0,0,4.81,0.12,88417.0944,0.7982,8,245144,2508,73665,109995,60326,9,0,1.78e+07,1.05e+07,6.48e+06
1728252965,1728253146,1728253148,1728253194,1728253194,1728253499,1728253500,1728253574,1728253575,1728253691,1728253692,1728253800,1728253801,1728253996,grendel46.ece.ncsu.edu,2.44,5,0.75,met3,0.3,0.2,0.00,0.00,0,0,4.49,0.11,91383.7248,0.7752,5,252038,2920,74925,115159,60430,5,0,1.84e+07,1.07e+07,6.76e+06
1728257293,1728257471,1728257474,1728257515,1728257516,1728257858,1728257859,1728257932,1728257933,1728258070,1728258072,1728258159,1728258160,1728258329,grendel46.ece.ncsu.edu,2.38,5,0.7,met3,0.3,0.2,0.00,0.00,0,1,4.37,0.13,89681.4288,0.7143,9,259247,3641,77938,118820,60299,6,0,1.81e+07,1.06e+07,6.60e+06
1728261550,1728261724,1728261727,1728261769,1728261770,1728262083,1728262084,1728262157,1728262159,1728262294,1728262295,1728262391,1728262392,1728262573,grendel46.ece.ncsu.edu,2.27,5,0.7,met3,0.3,0.2,0.00,0.00,0,1,3.88,0.13,88628.0832,0.7059,10,259496,3726,78027,118780,60421,6,0,1.79e+07,1.05e+07,6.52e+06
1728273037,1728273230,1728273233,1728273277,1728273277,1728273681,1728273682,1728273757,1728273758,1728273898,1728273899,1728274021,1728274022,1728274205,grendel46.ece.ncsu.edu,3.06,5,0.7,met3,0.3,0.2,0.00,0.00,0,1,4.52,0.13,90351.1584,0.7197,12,259694,3632,77949,118943,60608,6,0,1.82e+07,1.07e+07,6.65e+06
1728342462,1728342778,1728342781,1728342827,1728342827,1728343324,1728343325,1728343482,1728343484,1728343699,1728343701,1728343833,1728343834,1728344081,grendel31.ece.ncsu.edu,9.91,5,0.68,met3,0.3,0.2,0.00,0.00,0,2,4.36,0.12,91661.8464,0.7061,5,263564,3981,79532,120870,60658,4,0,1.90e+07,1.09e+07,6.75e+06
1728345314,1728345634,1728345637,1728345682,1728345683,1728346150,1728346152,1728346301,1728346301,1728346499,1728346500,1728346658,1728346659,1728346862,grendel31.ece.ncsu.edu,8.31,5,0.68,met3,0.3,0.15,0.00,0.00,0,0,4.08,0.11,89385.7248,0.6886,8,262098,4081,79085,119585,60827,9,0,1.83e+07,1.07e+07,6.51e+06
